"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Length.1","Sepal.Width.1","Petal.Length.1","Petal.Width.1","Species.1"
"1",5.1,3.5,1.4,0.2,"setosa",6.3,3.3,6,2.5,"virginica"
"2",4.9,3,1.4,0.2,"setosa",5.8,2.7,5.1,1.9,"virginica"
"3",4.7,3.2,1.3,0.2,"setosa",7.1,3,5.9,2.1,"virginica"
"4",4.6,3.1,1.5,0.2,"setosa",6.3,2.9,5.6,1.8,"virginica"
"5",5,3.6,1.4,0.2,"setosa",6.5,3,5.8,2.2,"virginica"
"6",5.4,3.9,1.7,0.4,"setosa",7.6,3,6.6,2.1,"virginica"
"7",4.6,3.4,1.4,0.3,"setosa",4.9,2.5,4.5,1.7,"virginica"
"8",5,3.4,1.5,0.2,"setosa",7.3,2.9,6.3,1.8,"virginica"
"9",4.4,2.9,1.4,0.2,"setosa",6.7,2.5,5.8,1.8,"virginica"
"10",4.9,3.1,1.5,0.1,"setosa",7.2,3.6,6.1,2.5,"virginica"
"11",5.4,3.7,1.5,0.2,"setosa",6.5,3.2,5.1,2,"virginica"
"12",4.8,3.4,1.6,0.2,"setosa",6.4,2.7,5.3,1.9,"virginica"
"13",4.8,3,1.4,0.1,"setosa",6.8,3,5.5,2.1,"virginica"
"14",4.3,3,1.1,0.1,"setosa",5.7,2.5,5,2,"virginica"
"15",5.8,4,1.2,0.2,"setosa",5.8,2.8,5.1,2.4,"virginica"
"16",5.7,4.4,1.5,0.4,"setosa",6.4,3.2,5.3,2.3,"virginica"
"17",5.4,3.9,1.3,0.4,"setosa",6.5,3,5.5,1.8,"virginica"
"18",5.1,3.5,1.4,0.3,"setosa",7.7,3.8,6.7,2.2,"virginica"
"19",5.7,3.8,1.7,0.3,"setosa",7.7,2.6,6.9,2.3,"virginica"
"20",5.1,3.8,1.5,0.3,"setosa",6,2.2,5,1.5,"virginica"
"21",5.4,3.4,1.7,0.2,"setosa",6.9,3.2,5.7,2.3,"virginica"
"22",5.1,3.7,1.5,0.4,"setosa",5.6,2.8,4.9,2,"virginica"
"23",4.6,3.6,1,0.2,"setosa",7.7,2.8,6.7,2,"virginica"
"24",5.1,3.3,1.7,0.5,"setosa",6.3,2.7,4.9,1.8,"virginica"
"25",4.8,3.4,1.9,0.2,"setosa",6.7,3.3,5.7,2.1,"virginica"
"26",5,3,1.6,0.2,"setosa",7.2,3.2,6,1.8,"virginica"
"27",5,3.4,1.6,0.4,"setosa",6.2,2.8,4.8,1.8,"virginica"
"28",5.2,3.5,1.5,0.2,"setosa",6.1,3,4.9,1.8,"virginica"
"29",5.2,3.4,1.4,0.2,"setosa",6.4,2.8,5.6,2.1,"virginica"
"30",4.7,3.2,1.6,0.2,"setosa",7.2,3,5.8,1.6,"virginica"
"31",4.8,3.1,1.6,0.2,"setosa",7.4,2.8,6.1,1.9,"virginica"
"32",5.4,3.4,1.5,0.4,"setosa",7.9,3.8,6.4,2,"virginica"
"33",5.2,4.1,1.5,0.1,"setosa",6.4,2.8,5.6,2.2,"virginica"
"34",5.5,4.2,1.4,0.2,"setosa",6.3,2.8,5.1,1.5,"virginica"
"35",4.9,3.1,1.5,0.2,"setosa",6.1,2.6,5.6,1.4,"virginica"
"36",5,3.2,1.2,0.2,"setosa",7.7,3,6.1,2.3,"virginica"
"37",5.5,3.5,1.3,0.2,"setosa",6.3,3.4,5.6,2.4,"virginica"
"38",4.9,3.6,1.4,0.1,"setosa",6.4,3.1,5.5,1.8,"virginica"
"39",4.4,3,1.3,0.2,"setosa",6,3,4.8,1.8,"virginica"
"40",5.1,3.4,1.5,0.2,"setosa",6.9,3.1,5.4,2.1,"virginica"
"41",5,3.5,1.3,0.3,"setosa",6.7,3.1,5.6,2.4,"virginica"
"42",4.5,2.3,1.3,0.3,"setosa",6.9,3.1,5.1,2.3,"virginica"
"43",4.4,3.2,1.3,0.2,"setosa",5.8,2.7,5.1,1.9,"virginica"
"44",5,3.5,1.6,0.6,"setosa",6.8,3.2,5.9,2.3,"virginica"
"45",5.1,3.8,1.9,0.4,"setosa",6.7,3.3,5.7,2.5,"virginica"
"46",4.8,3,1.4,0.3,"setosa",6.7,3,5.2,2.3,"virginica"
"47",5.1,3.8,1.6,0.2,"setosa",6.3,2.5,5,1.9,"virginica"
"48",4.6,3.2,1.4,0.2,"setosa",6.5,3,5.2,2,"virginica"
"49",5.3,3.7,1.5,0.2,"setosa",6.2,3.4,5.4,2.3,"virginica"
"50",5,3.3,1.4,0.2,"setosa",5.9,3,5.1,1.8,"virginica"
